ENER_NO,COMPLEXCODE,ENER_DT,HEAT_AMOUNT,HEAT_USAGE,WATERHOT_AMOUNT,WATERHOT_USAGE,GAS_AMOUNT,GAS_USAGE,ELEC_AMOUNT,ELEC_USAGE,WATER_AMOUNT,WATER_USAGE
433,A10023659,201811,0,0,0,0,0,0,0,0,0,0
434,A10023659,201812,0,0,0,0,0,0,0,0,0,0
435,A10023659,201901,0,0,0,0,0,0,0,0,0,0
436,A10023659,201902,0,0,0,0,0,0,0,0,0,0
437,A10023659,201903,0,0,0,0,0,0,0,0,0,0
438,A10023659,201904,0,0,0,0,0,0,0,0,0,0
439,A10023659,201905,0,0,0,0,0,0,0,0,0,0
440,A10023659,201906,0,0,0,0,0,0,0,0,0,0
441,A10023659,201907,0,0,0,0,0,0,0,0,0,0
442,A10023659,201908,0,0,0,0,0,0,0,0,0,0
